iteration,t_ff,t_pr,t_min
1,0.0012993000000278698,0.06040619999998853,0.0369645999999193
2,0.0012483000000429456,0.0024957000000540575,0.0353922000001603
3,0.001562900000180889,0.03294830000004367,0.06199420000007194
4,0.0013699999999516876,0.03535039999997025,0.03933129999995799
5,0.0012102999999115127,0.04340830000001006,0.023622699999805263
6,0.0009313000000474858,0.04256570000006832,0.029631099999960497
7,0.002490099999931772,0.002539700000170342,0.0343775999999707
8,0.0005576999999448162,0.0014300000000275759,0.024399399999992966
9,0.000890499999968597,0.0014707000000271364,0.024430299999949057
10,0.0006340999998428742,0.0017116000001351495,0.015697099999897546
11,0.0010125999999672786,0.0021695999998883053,0.03126679999991211
12,0.000773800000160918,0.0015736999998807732,0.03415799999993396
13,0.0009936000001289358,0.0014796000000387721,0.028708800000003976
14,0.0013762999999471504,0.0020884999998997955,0.03140760000019327
15,0.001163700000006429,0.05355450000001838,0.018303800000012416
16,0.0010753999999906227,0.0020721999999295804,0.03171429999997599
17,0.0008789000000888336,0.001538800000162155,0.027212700000063705
18,0.0009013999999751832,0.001974499999960244,0.03461179999999331
19,0.0013170999998237676,0.0023627000000487897,0.04836950000003526
20,0.0013080999999601772,0.002569199999925331,0.03795180000020082
21,0.0008628999999018561,0.054178500000034546,0.02614539999990484
22,0.001320600000099148,0.04726950000008401,0.0326858999999331
23,0.0009087999999337626,0.0012397999998938758,0.03031779999992068
24,0.0009369999997943523,0.0652660000000651,0.01944620000017494
25,0.002035599999999249,0.038612399999919944,0.023178499999858104
26,0.0009129999998549465,0.0017726999999467807,0.026646400000117865
27,0.0006496999999399122,0.000992700000097102,0.024224499999945692
28,0.001346499999954176,0.03430320000006759,0.02720620000013696
29,0.0012807999999040476,0.03330040000014378,0.026732999999921958
30,0.0008801000001312786,0.0012712000000192347,0.021880100000089442
31,0.0009518000001662585,0.05760860000009416,0.022764999999935753
32,0.000493699999879027,0.001377900000079535,0.0212263000000803
33,0.0006229000000530505,0.044131600000127946,0.016875400000117224
34,0.0009221000000252388,0.05326750000017455,0.014922399999932168
35,0.0013997000000927073,0.04025440000009439,0.021088499999905252
36,0.000772499999811771,0.0022211000000424974,0.026134600000204955
37,0.0009880000000066502,0.0015880000000834116,0.030441500000051747
38,0.0008666999999604741,0.00162769999997181,0.028175099999998565
39,0.0012369000000944652,0.05329019999999218,0.030225499999914973
40,0.0010952999998607993,0.047577399999909176,0.02600210000014158
41,0.0008115999999063206,0.0014280000000326254,0.032682699999895704
42,0.0010867999999391031,0.0017745000000104483,0.03314579999982925
43,0.0011987000000317494,0.04232090000004973,0.04233229999999821
44,0.0008161999999174441,0.0015480999998089828,0.03360659999998461
