iteration,t_ff,t_pr,t_min
1,0.6195042000035755,44.95292179999524,118.493075699982
2,0.555870899988804,0.20545639999909326,2297.880334299989
3,0.660539600008633,46.476336199993966,109.44773359998362
4,0.5303271999873687,0.17773029999807477,108.65058610000415
5,0.5965183000080287,0.18024819999118336,167.49264199999743
6,0.4604152999818325,0.12699300001258962,94.71300920000067
7,0.5946788000001106,57.65429679999943,97.02100350000546
8,0.6376027999795042,0.22100890000001527,145.56677659999696
9,1.3748729999933857,0.746214200014947,116.84509000001708
10,0.5997172000061255,45.776779300009366,95.50203599999077
11,0.5906658000021707,58.79335170000559,87.11376910001854
12,0.5506920000188984,0.16085849999217317,123.95150349999312
13,0.5771124000020791,0.19430800000554882,114.97320860001491
14,0.5818813999940176,45.379421199992066,108.61339890002273
15,0.5395496999844909,0.20444920001318678,112.98302839999087
16,0.4777349999931175,0.1293774000077974,97.62225849999231
17,0.5711509000102524,40.02564259999781,97.49514910002472
18,0.5674238999781664,0.15635470001143403,119.38707789999899
19,0.6232971000135876,55.24847749999026,103.65552209998714
20,0.5984140000073239,37.76257170000463,94.70531240000855
21,0.6219270000001416,51.894267099996796,90.56350770001882
22,0.5362918000028003,57.88329899997916,82.78879260001122
23,0.4785464000015054,0.16995159999351017,117.42395419999957
24,0.6061975000193343,41.37314300000435,121.8380187000148
25,0.5481215000036173,28.372095300001092,99.1715229000256
26,0.5541879999800585,0.18286339999758638,88.84521590001532
27,0.6302117999875918,45.17138260000502,107.417382500018
28,0.6541798999824096,43.91657270002179,99.49193230000674
29,0.5324412999907508,63.363475099991774,98.42724960000487
30,0.6371803999936674,49.09259389998624,108.71254440001212
31,0.6449843000154942,40.12819569997373,123.26949390000664
32,0.549156099994434,0.19687250000424683,112.54788159998134
33,0.5499812999914866,29.183578500000294,115.20427749998635
34,0.48502949997782707,0.15431600000010803,93.58443180000177
35,0.5402256000088528,49.35206899998593,95.0600597000157
36,0.5840344000025652,0.2221922999888193,104.89516990000266
37,0.5054748000111431,0.16289279999909922,104.90473909999127
38,0.5042330000142101,0.16596779998508282,100.22365420000278
39,0.5529219000018202,0.19096999999601394,112.10384150000755
40,0.5816174999927171,0.18939959999988787,116.75925760000246
41,0.5761016999895219,62.813207400002284,75.66356710001128
42,0.5497632000187878,0.23662800001329742,100.90617760000168
43,0.5468486000027042,0.2065545999794267,90.41245619999245
44,0.638372099987464,53.50127639999846,95.05877309999778
45,0.5549917999887839,61.87588189999224,92.40165939999861
46,0.60485490001156,39.84870199998841,109.05939169999328
47,0.5860866000002716,31.93084960000124,107.22764910000842
48,0.4721545999927912,0.1341015000070911,105.53919939999469
49,0.6342241000093054,47.407185799995204,113.10234169999603
50,0.6261393000022508,36.306935200002044,109.15885800000979
51,0.6021865000075195,47.50578079998377,95.54490420001093
52,0.5695450000057463,40.35606930000358,95.08715230002417
53,0.5755599999974947,0.23551339999539778,101.14405400000396
54,0.4758209999999963,0.14000499999383464,103.7804909000115
55,0.4449839000008069,0.1350823999964632,101.37223780000932
56,0.564764600014314,0.18013580000842921,104.72090069999103
57,0.5438360999978613,0.1667390999791678,97.27599300001748
58,0.6468514000007417,0.2374609000107739,113.03604479998467
59,0.6148839000088628,46.16680869998527,118.17962280000211
60,0.5983217000029981,0.1781016000022646,119.25792919998639
61,0.6907301000028383,35.12186029998702,114.49828290002188
62,0.6096692999999505,0.2694049999990966,103.71814520002226
63,0.5664179000013974,63.3629074000055,100.09616009998717
64,0.5199153000139631,0.16423210001084954,121.10213939999812
65,0.5729433999804314,56.59125009999843,107.48180889998912
66,0.5734817000047769,41.02601979998872,96.29580780002289
67,0.6122204999846872,0.16395650000777096,96.318477599998
68,0.5753106999909505,46.069902999995975,87.25405570000294
69,0.5849623999965843,41.245450699992944,106.09230160000152
70,0.5912811000016518,63.89403609998408,86.65529870000319
71,0.6554500999918673,35.525281900016125,98.25779249999323
72,0.5112143000005744,0.1998992000008002,90.72144839999964
73,0.633315200015204,53.40068210000754,112.3978025999968
74,0.716785800002981,49.381112400005804,103.90778310000314
75,0.42580179998185486,0.14862449999782257,73.71197269999539
76,0.6219404999865219,57.76372139999876,84.89151600000332
77,0.5351307999808341,0.18828520001261495,100.99070140000549
78,0.6548028000106569,0.20871039998019114,122.45809920001193
79,0.6151448000164237,0.2659560000174679,111.43053280000458
80,0.4318255000107456,0.16079439999884926,91.92381859998568
81,0.6684280000044964,0.23624410000047646,100.2944840999844
82,0.6432548000011593,58.772223700012546,109.04108819999965
83,0.5535397999919951,0.21614440000848845,89.90450269999565
84,0.5361007999745198,0.1497611000086181,101.23146559999441
85,0.6046105999848805,54.126705900009256,92.50127129998873
86,0.5527851000078954,0.22637079999549314,111.06367630002205
87,0.6427856000082102,46.03701849997742,94.80193370001507
88,0.6063947000075132,28.53130699999747,99.88151199999265
89,0.6759272000053898,32.04515779999201,105.75165409999317
90,0.6377172000065912,42.62952159999986,117.72787159998552
91,0.5846782000153325,0.198907899990445,94.80466039999737
92,0.5194598999805748,0.2067199000157416,105.20910670000012
93,0.7399137000029441,0.2880841000005603,117.93554189999122
94,0.7078823999909218,36.6881256000197,134.63878170002135
95,0.8107110999990255,0.28844249999383464,113.05954580000252
96,0.7502004000125453,40.74189269999624,109.3325442999776
97,0.7927530000160914,59.05330909998156,126.27217300000484
98,0.7273912999953609,0.27729689999250695,124.66117470001336
99,0.7686844999843743,0.2565803999896161,132.26073310000356
100,0.7380192000127863,57.046266899997136,133.9934875999752
